tenure_months,monthly_charges,support_calls,internet_service,contract_type,payment_method,tech_support,paperless_billing,senior_citizen,churn
20,28.64,5,Fiber,Two year,Bank transfer,No,Yes,0,1
39,93.76,3,None,Month-to-month,Bank transfer,Yes,Yes,1,1
32,28.94,6,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
49,48.73,6,DSL,One year,Credit card,Yes,No,0,1
43,120.7,0,Fiber,Month-to-month,Mailed check,No,No,0,1
43,102.0,6,Fiber,Two year,Bank transfer,Yes,Yes,0,1
54,103.3,3,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
32,35.77,7,Fiber,Month-to-month,Mailed check,Yes,No,0,1
5,90.72,3,DSL,Month-to-month,Bank transfer,No,No,0,1
36,79.05,7,DSL,Two year,Credit card,No,Yes,1,1
11,30.96,0,DSL,One year,Credit card,No,Yes,0,1
1,99.09,7,Fiber,Month-to-month,Mailed check,Yes,Yes,0,1
12,119.32,4,DSL,Two year,Credit card,No,Yes,0,1
47,42.38,4,Fiber,One year,Bank transfer,No,No,0,1
52,76.02,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
70,124.39,4,DSL,Two year,Credit card,Yes,Yes,0,1
20,38.54,2,None,Two year,Electronic check,No,No,0,1
31,90.56,3,DSL,One year,Electronic check,Yes,No,0,1
18,123.15,5,Fiber,One year,Electronic check,No,No,0,1
10,65.83,0,Fiber,One year,Credit card,No,Yes,0,1
6,129.74,6,DSL,Month-to-month,Electronic check,No,No,0,1
46,121.59,3,DSL,Month-to-month,Credit card,No,Yes,0,1
47,78.87,4,Fiber,Two year,Credit card,No,Yes,0,1
32,31.76,5,Fiber,Month-to-month,Mailed check,Yes,Yes,0,1
19,36.28,0,Fiber,Two year,Bank transfer,No,No,1,0
12,113.47,3,None,Month-to-month,Bank transfer,No,No,0,1
61,58.62,7,DSL,Two year,Electronic check,No,No,0,1
34,28.37,1,DSL,Month-to-month,Bank transfer,Yes,No,0,0
50,107.65,7,None,One year,Mailed check,Yes,No,1,1
11,24.13,7,DSL,Month-to-month,Mailed check,No,No,0,1
62,32.63,7,None,Month-to-month,Bank transfer,No,No,0,1
59,82.57,0,None,Month-to-month,Bank transfer,Yes,Yes,0,1
3,82.34,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
35,102.15,7,None,Month-to-month,Electronic check,Yes,Yes,0,1
26,97.48,7,Fiber,Month-to-month,Mailed check,No,No,0,1
54,60.66,2,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
64,36.26,4,Fiber,Two year,Credit card,No,No,0,1
9,105.11,2,Fiber,One year,Electronic check,No,Yes,1,1
1,122.28,1,Fiber,Month-to-month,Bank transfer,Yes,No,0,1
6,122.47,0,Fiber,One year,Electronic check,Yes,No,0,1
16,25.63,0,None,Two year,Bank transfer,Yes,Yes,0,1
61,99.02,0,DSL,Month-to-month,Bank transfer,Yes,No,1,0
25,60.41,6,Fiber,One year,Mailed check,No,Yes,0,1
31,91.65,7,DSL,Two year,Credit card,No,No,0,1
22,122.16,6,Fiber,One year,Electronic check,No,No,0,1
56,77.5,0,DSL,Month-to-month,Mailed check,No,Yes,0,1
66,119.05,7,Fiber,Month-to-month,Electronic check,No,Yes,0,1
8,99.39,2,DSL,Month-to-month,Electronic check,No,No,1,1
22,97.45,5,Fiber,Two year,Mailed check,Yes,No,0,1
17,92.18,5,None,Month-to-month,Credit card,No,Yes,1,1
24,120.76,3,None,Month-to-month,Electronic check,Yes,Yes,0,1
65,20.64,2,DSL,Month-to-month,Bank transfer,Yes,No,0,1
26,71.8,2,DSL,Two year,Credit card,Yes,No,0,1
9,94.34,2,Fiber,Month-to-month,Electronic check,No,Yes,0,1
29,39.83,2,DSL,Month-to-month,Electronic check,Yes,No,1,1
39,26.74,2,Fiber,One year,Credit card,No,Yes,0,1
19,109.69,4,Fiber,Two year,Electronic check,Yes,Yes,0,1
20,119.85,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
25,42.04,3,None,Month-to-month,Mailed check,Yes,Yes,0,1
22,109.0,4,Fiber,One year,Credit card,Yes,Yes,0,1
25,113.34,5,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
4,71.86,5,Fiber,One year,Electronic check,No,Yes,0,1
64,81.76,6,Fiber,Month-to-month,Mailed check,Yes,No,0,1
49,28.19,7,None,Month-to-month,Bank transfer,Yes,Yes,0,1
71,48.59,0,Fiber,Two year,Credit card,Yes,No,1,0
4,128.86,5,None,Month-to-month,Electronic check,Yes,Yes,0,1
1,54.19,6,None,Month-to-month,Credit card,No,Yes,0,1
24,36.51,2,DSL,Two year,Mailed check,No,Yes,0,1
34,39.11,4,DSL,Month-to-month,Mailed check,No,No,1,1
38,27.46,3,Fiber,Month-to-month,Credit card,No,Yes,1,1
41,98.54,2,DSL,Month-to-month,Credit card,No,No,0,1
70,26.36,4,Fiber,One year,Bank transfer,No,Yes,0,1
68,79.0,7,DSL,One year,Credit card,Yes,No,0,0
61,83.14,7,Fiber,One year,Electronic check,Yes,Yes,0,1
37,90.01,1,None,Two year,Mailed check,No,Yes,0,1
35,106.3,3,DSL,Two year,Mailed check,Yes,No,0,1
60,43.71,6,Fiber,Month-to-month,Electronic check,No,No,0,1
58,55.85,0,DSL,Two year,Electronic check,No,Yes,1,1
64,95.21,7,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
25,85.47,4,DSL,One year,Bank transfer,No,Yes,1,1
62,54.08,0,DSL,Month-to-month,Electronic check,No,Yes,0,1
3,32.19,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
55,128.7,4,DSL,Two year,Credit card,No,No,0,1
15,36.4,6,None,One year,Electronic check,No,Yes,0,1
2,41.95,4,Fiber,One year,Electronic check,No,Yes,1,1
5,85.49,0,DSL,Two year,Bank transfer,Yes,Yes,0,0
6,64.44,4,DSL,Month-to-month,Bank transfer,Yes,Yes,0,1
23,92.87,5,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
45,126.74,1,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
38,30.78,0,None,One year,Electronic check,No,No,1,1
5,83.59,5,DSL,Two year,Mailed check,No,Yes,0,1
25,98.31,3,Fiber,Month-to-month,Bank transfer,No,No,0,1
24,96.23,5,None,Month-to-month,Electronic check,Yes,No,0,1
38,56.22,1,Fiber,One year,Credit card,No,No,0,1
29,26.86,5,DSL,Month-to-month,Bank transfer,Yes,Yes,0,1
37,38.22,6,Fiber,Two year,Mailed check,Yes,No,0,1
29,99.55,0,Fiber,Two year,Electronic check,No,Yes,0,1
19,94.08,7,Fiber,Month-to-month,Electronic check,No,Yes,0,1
15,110.43,3,Fiber,One year,Credit card,No,No,0,1
61,38.82,0,DSL,Month-to-month,Electronic check,No,No,0,1
43,84.65,4,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
30,105.81,3,Fiber,Month-to-month,Mailed check,Yes,No,0,1
17,87.57,7,DSL,Month-to-month,Credit card,No,Yes,0,1
15,97.63,4,DSL,Month-to-month,Credit card,Yes,Yes,0,1
47,21.81,1,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
40,39.22,1,Fiber,Month-to-month,Mailed check,No,Yes,0,1
21,113.66,6,Fiber,One year,Electronic check,No,Yes,0,1
42,112.14,0,Fiber,One year,Electronic check,Yes,Yes,0,1
31,81.02,3,DSL,Two year,Electronic check,No,Yes,1,1
43,50.05,2,Fiber,Month-to-month,Electronic check,No,No,0,1
43,122.59,1,None,One year,Bank transfer,Yes,Yes,0,1
52,91.79,5,DSL,Month-to-month,Bank transfer,No,Yes,1,1
60,53.21,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
30,112.75,0,Fiber,One year,Electronic check,No,Yes,1,1
63,52.47,3,Fiber,Month-to-month,Bank transfer,Yes,Yes,1,1
13,33.09,3,None,Month-to-month,Electronic check,No,Yes,0,1
32,92.87,3,DSL,Two year,Bank transfer,No,Yes,0,1
67,92.04,0,Fiber,Month-to-month,Electronic check,Yes,Yes,0,0
60,104.23,5,DSL,Two year,Electronic check,No,Yes,0,1
47,109.54,4,DSL,One year,Bank transfer,No,No,0,1
53,86.05,7,DSL,Month-to-month,Credit card,Yes,Yes,0,1
10,33.28,0,DSL,Month-to-month,Electronic check,No,Yes,0,1
59,123.68,1,DSL,Month-to-month,Credit card,No,Yes,0,1
15,63.24,6,Fiber,Two year,Mailed check,Yes,Yes,0,1
10,128.17,6,DSL,One year,Mailed check,No,No,0,1
29,65.18,5,DSL,One year,Electronic check,No,Yes,0,1
66,45.05,6,DSL,One year,Mailed check,Yes,Yes,0,1
43,20.49,2,DSL,Month-to-month,Mailed check,No,Yes,0,1
21,127.87,7,DSL,Month-to-month,Credit card,Yes,Yes,1,1
71,52.62,3,Fiber,Month-to-month,Electronic check,No,No,0,1
67,129.38,7,DSL,Month-to-month,Electronic check,No,Yes,0,1
18,22.8,6,DSL,One year,Electronic check,No,Yes,0,1
49,55.77,4,Fiber,One year,Bank transfer,Yes,Yes,0,0
51,93.79,3,DSL,Month-to-month,Electronic check,No,Yes,0,1
51,80.03,0,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
67,37.1,2,Fiber,One year,Credit card,Yes,No,0,0
32,67.06,1,Fiber,Month-to-month,Electronic check,No,Yes,0,1
28,62.24,4,DSL,Month-to-month,Electronic check,No,Yes,0,1
11,24.73,1,DSL,Month-to-month,Electronic check,No,Yes,0,1
51,77.02,1,Fiber,Two year,Bank transfer,No,Yes,0,1
48,23.18,7,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
12,33.18,1,Fiber,Month-to-month,Electronic check,Yes,No,0,1
65,61.47,0,DSL,Month-to-month,Electronic check,No,No,1,1
30,44.7,4,None,One year,Mailed check,No,Yes,0,1
9,110.46,1,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
21,47.9,3,None,Month-to-month,Mailed check,Yes,Yes,0,1
22,128.74,7,Fiber,One year,Mailed check,Yes,Yes,1,1
27,115.36,0,DSL,Two year,Mailed check,No,Yes,0,1
28,59.9,1,DSL,Month-to-month,Electronic check,Yes,Yes,0,0
21,128.34,1,Fiber,Two year,Bank transfer,Yes,Yes,0,1
56,96.99,3,None,Month-to-month,Credit card,Yes,No,0,1
56,21.05,4,Fiber,Month-to-month,Electronic check,No,No,1,1
36,110.58,1,None,Month-to-month,Bank transfer,No,No,0,1
41,110.55,7,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
45,116.25,2,DSL,One year,Electronic check,No,No,0,1
57,123.15,6,Fiber,One year,Bank transfer,No,No,0,1
7,47.77,7,DSL,Month-to-month,Credit card,Yes,No,0,1
27,38.62,2,DSL,Two year,Electronic check,No,No,0,1
7,56.29,2,Fiber,One year,Bank transfer,No,No,0,1
24,76.35,1,Fiber,One year,Electronic check,Yes,Yes,0,1
46,114.96,4,None,Month-to-month,Electronic check,No,Yes,1,1
24,31.68,4,DSL,Month-to-month,Electronic check,No,Yes,0,1
44,123.35,4,None,Month-to-month,Credit card,No,No,0,1
18,40.04,7,Fiber,Two year,Electronic check,No,Yes,0,1
9,101.53,6,None,Two year,Bank transfer,No,No,0,1
51,129.74,0,DSL,Month-to-month,Bank transfer,Yes,Yes,0,1
67,118.19,3,DSL,One year,Electronic check,No,No,0,1
63,128.28,1,Fiber,One year,Credit card,Yes,Yes,1,1
3,79.68,5,DSL,Month-to-month,Electronic check,No,Yes,0,1
13,71.88,1,DSL,Month-to-month,Mailed check,No,No,0,1
42,124.06,0,Fiber,Two year,Bank transfer,No,Yes,0,1
3,107.33,7,None,One year,Electronic check,No,Yes,0,1
37,53.08,3,DSL,One year,Credit card,No,Yes,0,1
5,58.16,6,DSL,Month-to-month,Electronic check,Yes,No,0,1
62,108.19,4,DSL,Month-to-month,Electronic check,No,No,0,1
4,99.61,6,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
48,23.93,4,Fiber,Month-to-month,Bank transfer,Yes,Yes,1,1
35,112.15,3,DSL,One year,Electronic check,No,Yes,0,1
39,78.17,7,Fiber,One year,Credit card,Yes,Yes,1,1
55,32.69,4,Fiber,One year,Bank transfer,Yes,Yes,0,1
32,46.96,6,Fiber,One year,Bank transfer,No,No,0,1
25,49.55,0,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
25,92.11,3,None,Month-to-month,Credit card,Yes,Yes,0,1
29,125.05,3,DSL,One year,Electronic check,Yes,No,0,1
20,61.27,2,Fiber,One year,Electronic check,No,Yes,1,1
64,52.09,7,Fiber,Month-to-month,Electronic check,Yes,Yes,1,1
49,30.32,1,None,Two year,Electronic check,Yes,No,0,0
66,94.73,0,Fiber,Two year,Credit card,Yes,Yes,0,1
17,80.11,6,DSL,Two year,Credit card,No,Yes,0,1
7,37.37,0,Fiber,Month-to-month,Mailed check,No,Yes,0,1
70,25.12,3,DSL,One year,Bank transfer,No,Yes,0,1
18,42.98,2,DSL,Month-to-month,Credit card,No,Yes,1,1
33,104.69,5,None,Month-to-month,Electronic check,No,Yes,0,1
70,98.39,5,DSL,One year,Bank transfer,Yes,Yes,0,1
56,89.63,6,Fiber,One year,Electronic check,No,Yes,0,1
57,53.36,7,DSL,Month-to-month,Bank transfer,Yes,No,0,1
47,75.13,1,DSL,One year,Electronic check,No,No,0,1
65,84.97,3,DSL,One year,Bank transfer,Yes,Yes,0,1
15,87.99,6,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
58,64.37,1,Fiber,One year,Mailed check,No,Yes,0,1
45,27.27,0,None,Month-to-month,Bank transfer,Yes,No,0,0
30,80.68,6,None,Two year,Bank transfer,No,No,0,1
14,48.67,2,DSL,One year,Credit card,Yes,Yes,0,1
38,127.04,2,DSL,One year,Electronic check,Yes,No,1,1
8,107.61,0,DSL,Month-to-month,Credit card,No,No,0,1
50,32.41,1,Fiber,One year,Mailed check,No,Yes,0,1
49,120.58,2,Fiber,Month-to-month,Bank transfer,No,No,1,1
50,42.76,0,Fiber,One year,Credit card,No,No,1,0
1,86.79,0,Fiber,One year,Mailed check,No,Yes,0,1
40,92.57,3,Fiber,One year,Electronic check,Yes,No,0,1
67,58.4,4,DSL,Month-to-month,Electronic check,No,Yes,0,1
1,31.2,2,Fiber,One year,Electronic check,Yes,No,1,1
61,66.42,3,Fiber,One year,Credit card,Yes,Yes,1,1
69,34.92,0,Fiber,Month-to-month,Electronic check,No,No,0,1
24,28.3,1,DSL,One year,Electronic check,No,No,0,1
25,42.18,7,Fiber,One year,Mailed check,Yes,Yes,0,1
70,35.78,3,Fiber,Month-to-month,Electronic check,No,Yes,0,1
4,44.17,2,DSL,Two year,Mailed check,Yes,No,0,0
48,112.65,0,DSL,Month-to-month,Credit card,No,No,0,1
46,38.79,7,DSL,One year,Electronic check,Yes,No,0,1
57,46.54,7,None,Month-to-month,Bank transfer,No,Yes,0,1
40,128.19,0,DSL,Month-to-month,Credit card,Yes,Yes,0,1
18,114.3,5,Fiber,One year,Electronic check,Yes,Yes,0,1
44,41.67,3,None,Two year,Electronic check,No,Yes,0,0
41,58.88,7,DSL,Month-to-month,Credit card,Yes,Yes,0,1
56,69.92,0,Fiber,One year,Electronic check,No,Yes,0,1
12,82.51,1,Fiber,One year,Electronic check,No,No,0,1
8,110.14,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
12,58.04,1,DSL,Two year,Mailed check,No,No,0,1
65,88.2,3,Fiber,Month-to-month,Electronic check,Yes,No,0,1
61,113.29,3,Fiber,Two year,Electronic check,No,No,0,1
53,60.35,3,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
10,68.45,2,Fiber,Two year,Mailed check,No,No,1,1
18,42.92,1,DSL,Two year,Electronic check,No,Yes,0,1
12,34.81,5,DSL,Month-to-month,Bank transfer,No,No,0,1
41,46.16,5,DSL,One year,Electronic check,Yes,Yes,0,1
11,92.41,7,None,Month-to-month,Credit card,Yes,Yes,1,1
65,47.62,6,DSL,Two year,Bank transfer,No,Yes,0,1
31,93.4,4,DSL,One year,Mailed check,No,Yes,0,1
31,43.17,7,Fiber,One year,Mailed check,Yes,Yes,0,1
26,107.96,5,DSL,One year,Credit card,No,No,0,1
50,93.54,0,DSL,Month-to-month,Credit card,No,Yes,0,1
66,116.16,6,None,Two year,Bank transfer,Yes,No,0,1
53,98.17,2,None,Month-to-month,Credit card,No,No,1,1
6,123.7,4,Fiber,Two year,Mailed check,Yes,Yes,0,1
59,110.06,4,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
9,54.53,0,DSL,Month-to-month,Bank transfer,Yes,Yes,0,1
35,61.4,6,Fiber,One year,Bank transfer,No,Yes,0,1
1,104.67,1,None,One year,Electronic check,No,No,1,1
45,76.29,1,Fiber,One year,Bank transfer,No,Yes,0,1
37,126.84,3,DSL,Two year,Bank transfer,No,Yes,0,1
39,65.04,3,DSL,Month-to-month,Credit card,Yes,Yes,0,1
17,50.97,2,DSL,Two year,Credit card,Yes,No,0,0
33,101.02,3,DSL,One year,Electronic check,No,Yes,1,1
8,112.77,3,DSL,One year,Bank transfer,No,Yes,0,1
15,31.55,5,Fiber,Month-to-month,Credit card,No,Yes,0,1
23,39.84,7,Fiber,Month-to-month,Electronic check,No,Yes,0,1
32,42.5,5,DSL,Month-to-month,Bank transfer,No,Yes,0,1
18,51.99,1,Fiber,Month-to-month,Electronic check,No,Yes,0,1
29,96.69,5,Fiber,Month-to-month,Electronic check,No,No,0,1
18,95.18,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
16,45.39,4,Fiber,Month-to-month,Electronic check,Yes,No,0,1
1,99.71,3,DSL,One year,Electronic check,Yes,Yes,0,1
3,128.88,1,DSL,One year,Electronic check,No,Yes,0,1
25,45.19,6,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
36,116.43,0,Fiber,One year,Mailed check,No,No,0,1
71,39.27,6,Fiber,Month-to-month,Credit card,No,Yes,1,1
42,115.71,4,Fiber,Two year,Electronic check,No,Yes,0,1
43,114.04,7,Fiber,Two year,Mailed check,No,No,0,1
66,117.75,5,DSL,Month-to-month,Credit card,No,Yes,0,1
18,61.36,6,None,One year,Electronic check,Yes,No,0,1
40,27.79,1,DSL,One year,Mailed check,Yes,No,0,1
61,77.95,0,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
28,117.26,3,None,Month-to-month,Electronic check,No,Yes,0,1
20,60.75,2,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
1,26.93,3,Fiber,One year,Bank transfer,Yes,Yes,1,1
43,38.67,2,Fiber,One year,Electronic check,Yes,Yes,0,1
7,115.45,6,DSL,Month-to-month,Credit card,Yes,No,1,1
58,97.9,4,DSL,Month-to-month,Electronic check,Yes,Yes,1,1
18,59.86,5,Fiber,Month-to-month,Electronic check,No,Yes,0,1
55,56.18,0,DSL,Two year,Bank transfer,No,No,0,1
31,29.76,7,Fiber,Two year,Credit card,No,Yes,0,1
44,58.59,5,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
13,48.21,3,None,Two year,Electronic check,No,Yes,0,1
48,87.02,2,Fiber,Month-to-month,Mailed check,No,No,0,1
62,33.6,0,DSL,Two year,Electronic check,No,Yes,0,1
68,72.23,6,Fiber,Two year,Electronic check,Yes,Yes,0,1
2,62.8,4,Fiber,Month-to-month,Electronic check,Yes,No,0,1
48,75.61,5,Fiber,One year,Mailed check,No,No,0,1
42,24.4,7,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
32,95.36,1,Fiber,Month-to-month,Mailed check,No,Yes,1,1
50,90.53,2,Fiber,One year,Electronic check,Yes,Yes,0,1
32,38.29,1,Fiber,Two year,Electronic check,Yes,Yes,0,1
23,56.69,5,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
19,104.45,3,Fiber,One year,Electronic check,No,No,0,1
41,84.15,7,DSL,Two year,Electronic check,No,Yes,1,1
51,126.65,5,Fiber,Two year,Credit card,No,Yes,0,1
55,60.19,5,DSL,Two year,Electronic check,No,Yes,0,1
59,58.09,2,Fiber,Month-to-month,Electronic check,No,Yes,0,1
56,89.31,1,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
17,112.72,3,DSL,Month-to-month,Credit card,No,Yes,0,1
13,65.71,3,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
27,62.23,7,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
52,77.06,6,None,One year,Credit card,No,No,0,1
29,121.55,0,DSL,One year,Electronic check,No,No,0,1
65,24.35,3,DSL,Two year,Bank transfer,No,Yes,0,1
15,104.18,5,None,Month-to-month,Electronic check,Yes,Yes,1,1
7,59.35,7,Fiber,One year,Electronic check,No,Yes,0,1
51,27.91,4,DSL,Month-to-month,Electronic check,No,Yes,1,1
25,29.96,1,DSL,One year,Electronic check,No,Yes,0,1
48,49.23,7,Fiber,Two year,Credit card,No,Yes,0,1
63,125.82,0,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
4,117.89,3,Fiber,One year,Bank transfer,Yes,Yes,0,1
17,70.53,1,None,Month-to-month,Electronic check,Yes,Yes,0,1
56,24.65,6,None,Two year,Credit card,No,No,0,1
14,100.64,4,Fiber,Month-to-month,Electronic check,Yes,Yes,1,1
68,66.47,1,Fiber,One year,Bank transfer,Yes,No,1,1
65,87.01,2,DSL,Two year,Credit card,No,Yes,0,1
61,109.48,6,Fiber,Two year,Credit card,No,Yes,0,1
50,29.89,3,Fiber,Month-to-month,Mailed check,Yes,No,0,1
33,28.89,5,DSL,Month-to-month,Bank transfer,No,Yes,0,1
27,57.25,3,DSL,Two year,Credit card,No,Yes,0,1
9,110.81,3,Fiber,One year,Electronic check,No,Yes,0,1
67,108.83,6,Fiber,Month-to-month,Bank transfer,Yes,No,1,1
1,126.07,3,DSL,One year,Bank transfer,No,Yes,1,1
60,44.19,3,DSL,Month-to-month,Electronic check,No,Yes,0,1
46,121.12,2,None,Month-to-month,Credit card,Yes,Yes,1,1
41,99.47,4,Fiber,Two year,Electronic check,Yes,No,0,1
54,77.72,6,DSL,Two year,Credit card,No,Yes,0,1
58,124.26,3,DSL,Month-to-month,Credit card,No,No,0,1
52,99.01,1,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
43,83.13,1,Fiber,One year,Bank transfer,Yes,Yes,0,1
22,108.5,3,Fiber,Two year,Mailed check,No,Yes,0,1
41,48.16,0,DSL,Month-to-month,Mailed check,No,No,0,1
5,97.84,5,DSL,Two year,Electronic check,No,No,1,1
22,129.45,1,Fiber,Two year,Electronic check,Yes,No,0,1
52,81.68,6,DSL,Two year,Mailed check,No,No,1,1
44,52.62,5,Fiber,Two year,Electronic check,No,Yes,0,1
21,91.06,2,DSL,Month-to-month,Credit card,No,No,0,1
2,115.38,4,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
19,116.6,2,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
53,118.69,0,None,Month-to-month,Bank transfer,No,Yes,0,1
6,70.43,0,Fiber,Month-to-month,Mailed check,Yes,Yes,1,1
58,129.79,6,Fiber,Month-to-month,Credit card,Yes,Yes,1,1
56,89.52,1,Fiber,One year,Mailed check,No,Yes,0,1
13,93.09,6,DSL,Two year,Bank transfer,No,No,0,1
47,42.8,0,Fiber,Month-to-month,Credit card,No,Yes,1,1
22,30.1,3,Fiber,One year,Credit card,No,Yes,0,1
11,77.51,1,DSL,Month-to-month,Bank transfer,No,Yes,0,1
16,38.63,6,Fiber,One year,Bank transfer,No,Yes,0,1
53,103.82,5,DSL,Month-to-month,Electronic check,Yes,Yes,1,1
3,35.37,2,Fiber,One year,Credit card,No,Yes,0,1
8,55.63,4,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
25,45.81,5,None,Month-to-month,Electronic check,No,Yes,1,1
56,96.31,0,Fiber,One year,Electronic check,No,No,0,1
31,87.9,7,DSL,Month-to-month,Electronic check,No,No,1,1
65,71.61,6,DSL,Two year,Bank transfer,Yes,Yes,0,1
57,51.19,2,DSL,Month-to-month,Bank transfer,No,Yes,0,1
59,53.41,4,DSL,Month-to-month,Bank transfer,No,Yes,1,1
57,106.85,0,Fiber,One year,Electronic check,No,Yes,0,1
69,85.94,4,Fiber,Two year,Mailed check,Yes,Yes,0,1
41,52.8,3,Fiber,Month-to-month,Credit card,No,Yes,0,1
44,58.27,3,DSL,Month-to-month,Bank transfer,No,No,0,1
17,40.75,0,Fiber,Month-to-month,Bank transfer,Yes,No,0,1
63,52.26,1,Fiber,Month-to-month,Bank transfer,No,No,0,1
54,51.74,3,Fiber,Month-to-month,Electronic check,No,Yes,0,1
11,77.63,5,Fiber,One year,Electronic check,Yes,Yes,0,1
6,108.41,7,None,Month-to-month,Electronic check,No,Yes,0,1
44,124.93,1,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
55,104.74,3,Fiber,Month-to-month,Mailed check,No,Yes,0,1
66,69.56,0,None,Month-to-month,Mailed check,Yes,Yes,0,1
22,35.64,2,Fiber,One year,Mailed check,No,Yes,0,1
16,107.98,7,Fiber,Month-to-month,Credit card,Yes,Yes,1,1
70,23.74,7,Fiber,Month-to-month,Credit card,No,Yes,0,1
62,22.31,7,Fiber,Month-to-month,Electronic check,No,Yes,1,1
20,57.98,0,Fiber,One year,Bank transfer,No,No,0,1
68,90.47,2,DSL,Month-to-month,Credit card,No,Yes,0,1
22,88.9,7,DSL,Two year,Electronic check,Yes,Yes,1,1
69,85.24,0,DSL,Month-to-month,Credit card,No,No,0,1
63,46.53,4,DSL,One year,Credit card,No,Yes,0,1
46,100.15,7,None,One year,Credit card,Yes,Yes,0,1
19,42.04,2,None,One year,Electronic check,Yes,Yes,0,1
47,78.34,1,DSL,One year,Electronic check,No,Yes,1,1
64,113.24,6,Fiber,One year,Electronic check,No,Yes,1,1
68,54.73,6,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
2,64.47,6,Fiber,One year,Credit card,No,Yes,0,1
69,66.27,5,DSL,One year,Bank transfer,No,No,0,1
70,115.9,0,None,One year,Credit card,Yes,Yes,1,1
27,35.79,7,DSL,Month-to-month,Mailed check,Yes,Yes,1,1
60,32.54,2,Fiber,One year,Electronic check,Yes,No,0,1
54,55.92,1,Fiber,Two year,Electronic check,No,No,0,1
30,89.94,5,Fiber,Two year,Mailed check,No,Yes,0,1
65,122.42,6,Fiber,One year,Electronic check,No,No,1,1
59,55.54,2,Fiber,One year,Electronic check,Yes,No,1,1
14,73.03,4,DSL,Two year,Credit card,Yes,Yes,0,0
65,69.84,2,Fiber,Two year,Electronic check,No,No,0,1
47,75.47,6,None,Month-to-month,Credit card,Yes,Yes,0,1
62,43.93,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
68,35.2,4,None,Month-to-month,Mailed check,Yes,No,0,1
14,57.59,7,DSL,Two year,Bank transfer,Yes,Yes,0,1
60,36.52,1,None,One year,Electronic check,Yes,No,0,1
3,60.39,0,DSL,Month-to-month,Credit card,No,No,0,1
22,71.11,6,DSL,One year,Electronic check,Yes,No,0,1
32,53.36,3,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
44,22.37,6,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
70,37.76,0,None,Two year,Electronic check,Yes,No,1,1
66,63.64,5,None,Month-to-month,Credit card,Yes,No,0,1
34,39.23,2,Fiber,Two year,Credit card,No,Yes,0,0
46,59.56,3,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
30,34.18,1,DSL,Month-to-month,Electronic check,No,Yes,0,0
3,85.64,0,Fiber,One year,Mailed check,No,No,0,1
27,89.52,7,Fiber,Two year,Credit card,Yes,Yes,0,1
10,128.69,1,Fiber,One year,Electronic check,Yes,Yes,0,1
44,65.58,1,Fiber,One year,Credit card,Yes,No,0,0
67,97.95,7,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
63,21.75,4,DSL,One year,Credit card,No,Yes,0,1
